,NOME_PRODUTO,PRINCIPIO_ATIVO,CLASSE_TERAPEUTICA,CATEGORIA_REGULATORIA
6910,Suavicid,HIDROQUINONA +  TRETINOÍNA +  FLUOCINOLONA ACETONIDA,DESMELANIZANTES,SIMILAR
6911,Subtrax,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,SIMILAR
6912,Succinato De Desvenlafaxina,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,ANTIDEPRESSIVOS,GENÉRICO
6913,Succinato De Desvenlafaxina,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,ANTIDEPRESSIVOS,GENÉRICO
6914,Succinato De Desvenlafaxina,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,ANTIDEPRESSIVOS,GENÉRICO
6915,Succinato De Desvenlafaxina Monoidratado,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,ANTIDEPRESSIVOS,GENÉRICO
6916,Succinato De Desvenlafaxina Monoidratado,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,ANTIDEPRESSIVOS,GENÉRICO
6917,Succinato De Desvenlafaxina Monoidratado,SUCCINATO DE DESVENLAFAXINA MONOIDRATADO,ANTIDEPRESSIVOS,GENÉRICO
6918,Succinato De Metoprolol,SUCCINATO DE METOPROLOL,BETABLOQUEADORES SIMPLES,GENÉRICO
6919,Succinato Sodico De Hidrocortisona,SUCCINATO SÓDICO DE HIDROCORTISONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
6920,Succinil Colin,CLORETO DE SUXAMETÔNIO,BLOQUEADOR NEUROMUSCULAR,SIMILAR
6921,Succitrat,CLORETO DE SUXAMETÔNIO,BLOQUEADOR NEUROMUSCULAR,SIMILAR
6922,Sucrafilm,SUCRALFATO,ANTIULCEROSOS,SIMILAR
6923,Sucrofer,SACARATO DE HIDRÓXIDO FÉRRICO,NUTRIENTES PARENTERAIS,ESPECÍFICO
6924,Sufenta,CITRATO DE SUFENTANILA,ANESTESICOS GERAIS INJETAVEIS,NOVO
6925,Sug,SUGAMADEX SÓDICO,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SIMILAR
6926,Sugadioz,SUGAMADEX SÓDICO,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SIMILAR
6927,Suganon,TARTARATO DE EVOGLIPTINA,OUTROS PRODUTOS PARA O TRATO ALIMENTAR E METABOLISMO,NOVO
6928,Sukhi,PEMETREXEDE DISSÓDICO,ANTINEOPLASICO,SIMILAR
6929,Sulbamox,AMOXICILINA TRI-HIDRATADA +  AMOXICILINA TRIHIDRATADA +  SULBACTAM PIVOXILA,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
6930,Sulfadiazina De Prata,SULFADIAZINA DE PRATA,ANTINFECCIOSOS TOPICOS,GENÉRICO
6931,Sulfadiazina De Prata,SULFADIAZINA DE PRATA,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,GENÉRICO
6932,Sulfametoxazol + Trimetoprima,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,GENÉRICO
6933,Sulfametoxazol + Trimetoprima,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,GENÉRICO
6934,Sulfametoxazol + Trimetoprima,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,GENÉRICO
6935,Sulfametoxazol + Trimetoprima,SULFAMETOXAZOL +  TRIMETOPRIMA,TRIMETOPRIMA EM ASSOCIACAO COM SULFAS,GENÉRICO
6936,Sulfato De Amicacina,SULFATO DE AMICACINA,AMINOGLICOSIDEOS,GENÉRICO
6937,Sulfato De Amicacina,SULFATO DE AMICACINA,AMINOGLICOSIDEOS,GENÉRICO
6938,Sulfato De Atazanavir,SULFATO DE ATAZANAVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),GENÉRICO
6939,Sulfato De Efedrina,SULFATO DE EFEDRINA,HIPERTENSOR,GENÉRICO
6940,Sulfato De Gentamicina,SULFATO DE GENTAMICINA,ANTIBIOTICOS SISTEMICOS SIMPLES,GENÉRICO
6941,Sulfato De Magnésio,SULFATO DE MAGNÉSIO,ELETROLITOS SIMPLES,ESPECÍFICO
6942,Sulfato De Magnésio Heptahidratado,SULFATO DE MAGNÉSIO HEPTAIDRATADO,ELETROLITOS SIMPLES,ESPECÍFICO
6943,Sulfato De Morfina,SULFATO DE MORFINA PENTAIDRATADO,ANALGESICOS NARCOTICOS,GENÉRICO
6944,Sulfato De Neomicina,SULFATO DE NEOMICINA,ANTINFECCIOSOS TOPICOS,GENÉRICO
6945,Sulfato De Neomicina + Bacitracina,BACITRACINA +  SULFATO DE NEOMICINA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,GENÉRICO
6946,Sulfato De Neomicina + Bacitracina,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,GENÉRICO
6947,Sulfato De Neomicina + Bacitracina Zíncica,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA,ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS,GENÉRICO
6948,Sulfato De Neomicina + Bacitracina Zíncica,BACITRACINA ZÍNCICA +  SULFATO DE NEOMICINA,ANTINFECCIOSOS TOPICOS,SIMILAR
6949,Sulfato De Polimixina B,SULFATO DE POLIMIXINA B,ANTIBIOTICOS SISTEMICOS SIMPLES,GENÉRICO
6950,Sulfato De Salbutamol,SULFATO DE SALBUTAMOL,BRONCODILATADORES,GENÉRICO
6951,Sulfato De Salbutamol,SULFATO DE SALBUTAMOL,BRONCODILATADORES,GENÉRICO
6952,Sulfato De Salbutamol,SULFATO DE SALBUTAMOL,BRONCODILATADORES,GENÉRICO
6953,Sulfato De Salbutamol,SULFATO DE SALBUTAMOL,BRONCODILATADORES,GENÉRICO
6954,Sulfato De Terbutalina,SULFATO DE TERBUTALINA,BRONCODILATADORES,GENÉRICO
6955,Sulfato De Terbutalina,SULFATO DE TERBUTALINA,BRONCODILATADORES,GENÉRICO
6956,Sulfato De Vincristina,SULFATO DE VINCRISTINA,ANTINEOPLASICO,GENÉRICO
6957,Sulfato De Vincristina,SULFATO DE VINCRISTINA,ALCALOIDE DA VINCA,GENÉRICO
6958,Sulfato De Zinco,SULFATO DE ZINCO HEPTAIDRATADO,ELETROLITOS SIMPLES,ESPECÍFICO
6959,Sulfatrin,SULFAMETOXAZOL +  TRIMETOPRIMA,ANTINFECCIOSOS,SIMILAR
6960,Sulfazina,SULFADIAZINA,SULFAS,SIMILAR
6961,Sulferbel,SULFATO FERROSO +  SULFATO FERROSO HEPTAIDRATADO,ANTIANEMICOS,ESPECÍFICO
6962,Sulglic,SULFATO DE GLICOSAMINA,OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,SIMILAR
6963,Sulpan,BROMAZEPAM +  SULPIRIDA,ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
6964,Sumax,SUCCINATO DE SUMATRIPTANA,ANALGESICOS CONTRA ENXAQUECA,NOVO
6965,Sumax,SUCCINATO DE SUMATRIPTANA,ANALGESICOS CONTRA ENXAQUECA,SIMILAR
6966,Sumaxpro,NAPROXENO SÓDICO +  SUCCINATO DE SUMATRIPTANA,ANALGESICOS CONTRA ENXAQUECA,NOVO
6967,Superan,CLORIDRATO DE ALIZAPRIDA,ANTIEMETICOS E ANTINAUSEANTES,NOVO
6968,Suplevit C For,ASPARTATO DE ARGININA +  ÁCIDO ASCÓRBICO,VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS,ESPECÍFICO
6969,Suplevit C Prevent,ÁCIDO ASCÓRBICO,MONOVITAMINAS EXCETO VITAMINA K,ESPECÍFICO
6970,Suprema,ACETATO DE NORETISTERONA +  ESTRADIOL,OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA,SIMILAR
6971,Supreniq,FULVESTRANTO,ANTINEOPLASICO,GENÉRICO
6972,Suprenz,PANCREATINA,MODULADORES DO METABOLISMO E DA DIGESTAO,BIOLÓGICO
6973,Suprium,CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  NICOTINAMIDA +  PANTOTENATO DE CÁLCIO +  RIBOFLAVINA +  SULFATO CÚPRICO +  SULFATO DE ZINCO +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO,POLIVITAMINICOS COM MINERAIS,ESPECÍFICO
6974,Sureptil,ACEFILINATO DE HEPTAMINOL +  CINARIZINA,VASODILATADORES,
6975,Survanta,BERACTANTO,PRODUTO PARA O APARELHO RESPIRATORIO,BIOLÓGICO
6976,Sustrate,PROPATILNITRATO,NITRITOS NITRATOS E SEMELHANTES,NOVO
6977,Sutent,MALATO DE SUNITINIBE,ANTINEOPLASICO,NOVO
6978,Sutriptan,SUCCINATO DE SUMATRIPTANA,ANALGESICOS CONTRA ENXAQUECA,SIMILAR
6979,Suversadex,SUGAMADEX SÓDICO,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SIMILAR
6980,Svir,SAQUINAVIR,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),SIMILAR
6981,Svudin,ESTAVUDINA,ANTIVIROTICOS (INIBE REPLICACAO VIROTICA),SIMILAR
6982,Sygen,MONOSSIALOGANGLIOSIDEO,GANGLIOSIDEO,BIOLÓGICO
6983,Sylvant,SILTUXIMABE,IMUNOSUPRESSOR,BIOLÓGICO
6984,Symbicort,BUDESONIDA +  FUMARATO DE FORMOTEROL DI-HIDRATADO,ANTIASMATICOS,SIMILAR
6985,Symbicort Turbuhaler,BUDESONIDA +  FUMARATO DE FORMOTEROL,ANTIASMATICOS,NOVO
6986,Sympta,CLORIDRATO DE DULOXETINA,ANTIDEPRESSIVOS,SIMILAR
6987,Synagis,PALIVIZUMABE,PRODUTO PARA O APARELHO RESPIRATORIO,BIOLÓGICO
6988,Synflorix,POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1 +  POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C  +  POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F  +  POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4  +  POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5 +  POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PN,VACINAS,BIOLÓGICO
6989,Synthroid,LEVOTIROXINA SÓDICA,HORMONIOS TIREOIDEANOS SIMPLES OU ASSOCIADOS ENTRE SI,NOVO
6990,Syntocinon,OCITOCINA,OCITOCICOS HORMONAIS,NOVO
6991,Syrex - Diluente Fisiológico Injetável De Medicamentos,CLORETO DE SÓDIO +  FENOL,DILUENTES E VEICULOS DE MEDICAMENTOS,ESPECÍFICO
6992,Systen,ESTRADIOL +  ESTRADIOL HEMI-HIDRATADO,HORMONIOS DE USO TOPICO GINECOLOGICO,NOVO
6993,Systen Conti,ACETATO DE NORETISTERONA +  ESTRADIOL HEMI-HIDRATADO,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,SIMILAR
6994,Systen Sequi,ACETATO DE NORETISTERONA +  ESTRADIOL +  ESTRADIOL HEMI-HIDRATADO,ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS,SIMILAR
6995,Sytoc,OXALATO DE ESCITALOPRAM,ANTIDEPRESSIVOS,SIMILAR
6996,Salonpas Adesivo,CÂNFORA +  LEVOMENTOL +  SALICILATO DE METILA,ANTINFLAMATORIOS + OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO,ESPECÍFICO
6997,Sarclisa,ISATUXIMABE,ANTINEOPLASICO,BIOLÓGICO
6998,Sedamed,CAFEÍNA +  MUCATO DE ISOMETEPTENO +  DIPIRONA MONOIDRATADA,ANALGESICOS NAO NARCOTICOS,SIMILAR
6999,Seebri,BROMETO DE GLICOPIRRÔNIO,BRONCODILATADORES,NOVO
7000,Sele-Vita,SELÊNIO,SOLUÇÕES PARA NUTRIÇÃO PARENTERAL,ESPECÍFICO
7001,Sered,CLORIDRATO DE SERTRALINA,ANTIDEPRESSIVOS,SIMILAR
7002,Sevoflurano,SEVOFLURANO,ANESTESICOS GERAIS VOLATEIS E GASOSOS,GENÉRICO
7003,Signifor Lp,PAMOATO DE PASIREOTIDA,INIBIDORES DOS HORMÔNIOS DE CRESCIMENTO,NOVO
7004,Simponi,GOLIMUMABE,ANTINFLAMATORIOS,BIOLÓGICO
7005,Sirturo,FUMARATO DE BEDAQUILINA,OUTROS MEDICAMENTOS USADOS NO TRATAMENTO DA TUBERCULOSE,NOVO
7006,Sivextro,FOSFATO DE TEDIZOLIDA,OUTROS ANTIBACTERIANOS PARA USO SISTÊMICO,NOVO
7007,Sivextro,FOSFATO DE TEDIZOLIDA,OUTROS ANTIBACTERIANOS PARA USO SISTÊMICO,NOVO
7008,Solução Glicofisiológica Snb,CLORETO DE SÓDIO +  GLICOSE,REIDRATANTES PARENTERAIS,ESPECÍFICO
7009,Soolantra,IVERMECTINA,OUTROS PRODUTOS DERMATOLÓGICOS,NOVO
7010,Soro Anti-Rábico,IMUNOGLOBULINA ANTIRRÁBICA,SOROS IMUNOPROTETORES,BIOLÓGICO
7011,Soro Antibotrópico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP,SOROS IMUNOPROTETORES,BIOLÓGICO
7012,Soro Antibotrópico-Crotálico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP +  IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP,SOROS IMUNOPROTETORES,BIOLÓGICO
7013,Soro Antibotrópico/Crotálico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP +  IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP,SOROS IMUNOPROTETORES,BIOLÓGICO
7014,Soro Antibotrópico/Laquético,IMUNOGLOBULINA HETERÓLOGA CONTRA O VENENO DE LACHESIS MUTA +  IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE BOTHROPS SP,SOROS IMUNOPROTETORES,BIOLÓGICO
7015,Soro Antibotulínico Ab,IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA BOTULÍNICA TIPO A +  IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA BOTULÍNICA TIPO B,SOROS IMUNOPROTETORES,BIOLÓGICO
7016,Soro Anticrotálico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP,SOROS IMUNOPROTETORES,BIOLÓGICO
7017,Soro Anticrotálico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE CROTALUS SP,SOROS IMUNOPROTETORES,BIOLÓGICO
7018,Soro Antielapídico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE MICRURUS FRONTALIS,SOROS IMUNOPROTETORES,BIOLÓGICO
7019,Soro Antielapídico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE MICRURUS,SOROS IMUNOPROTETORES,BIOLÓGICO
7020,Soro Antiescorpiônico,IMUNOGLOBULINA HETERÓLOGA CONTRA VENENO DE TITYUS SERRULATUS,SOROS IMUNOPROTETORES,BIOLÓGICO
7021,Soro Antitetânico,IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA TETÂNICA,SOROS IMUNOPROTETORES,BIOLÓGICO
7022,Soro Antitetânico,IMUNOGLOBULINA HETERÓLOGA CONTRA TOXINA TETÂNICA,SOROS IMUNOPROTETORES,BIOLÓGICO
7023,Soyfemme,GLYCINE MAX (L.) MERR.,COADJUVANTE NO TRATAMENTO DO CLIMATERIO + FITOTERAPICO SIMPLES,FITOTERÁPICO
7024,Sozz,CLORIDRATO DE DULOXETINA,ANTIDEPRESSIVOS,SIMILAR
7025,Spasmex,CLORETO DE TRÓSPIO,OUTROS PRODUTOS UROLÓGICOS EXCLUINDO ANTIESPASMÓDICOS + SISTEMA GENITOURINÁRIO E HORMÔNIOS SEXUAIS,NOVO
7026,Spectrila,ASPARAGINASE,ANTINEOPLASICO,BIOLÓGICO
7027,Spidufen,IBUPROFENO ARGININA,ANALGESICOS NAO NARCOTICOS,NOVO
7028,Spinraza,NUSINERSENA,OUTROS MEDICAMENTOS PARA TRANSTORNOS DO SISTEMA MÚSCULO-ESQUELÉTICO,NOVO
7029,Stamaril,VÍRUS 17D DA FEBRE AMARELA,VACINAS,
7030,Stelara,USTEQUINUMABE,IMUNOSUPRESSOR,BIOLÓGICO
7031,Stivarga,REGORAFENIBE,ANTINEOPLASICO,NOVO
7032,Strensiq,ALFA-ASFOTASE,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,BIOLÓGICO
7033,Succinato Sódico De Metilpredinisolona,SUCCINATO SÓDICO DE METILPREDNISOLONA,GLICOCORTICOIDES SISTEMICOS,GENÉRICO
7034,Succinato De Metoprolol,SUCCINATO DE METOPROLOL,BETABLOQUEADORES SIMPLES,GENÉRICO
7035,Sulfato De Amicacina,SULFATO DE AMICACINA,AMINOGLICOSIDEOS,GENÉRICO
7036,Sulfato De Salbutamol,SULFATO DE SALBUTAMOL,BRONCODILATADORES,GENÉRICO
7037,Sulfato De Terbutalina,SULFATO DE TERBUTALINA,BRONCODILATADORES,GENÉRICO
7038,Superhist Paracetamol,CLORIDRATO DE FENILEFRINA +  MALEATO DE CLORFENIRAMINA +  PARACETAMOL,PRODUTO P.TERAPIA SINTOMATICA DA GRIPE,SIMILAR
7039,Syletyv,PARICALCITOL,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,SIMILAR
7040,Symdeko,IVACAFTOR +  TEZACAFTOR,OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO,NOVO
7041,Symtuza®,ETANOLATO DE DARUNAVIR +  HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA +  COBICISTATE +  ENTRICITABINA,ASSOCIAÇÕES DE ANTIVIRÓTICOS PARA O TRATAMENTO DE INFECÇÕES POR HIV,NOVO
7042,Sédatif Pc,ABRUS PRECATORIUS +  ACONITUM NAPELLUS +  ATROPA BELLADONNA +  ACONITUM +  CALENDULA OFFICINALIS L. +  CHELIDONIUM MAJUS +  VIBURNUM OPULUS,MEDICAMENTOS DINAMIZADOS COMPOSTOS,DINAMIZADO
7043,Sílibom,SILYBUM MARIANUM (L.) GAERTN,"COLAGOGOS, COLERETICOS E HEPATOPROTETORES + FITOTERAPICO SIMPLES",FITOTERÁPICO
7044,Tabrecta,DICLORIDRATO DE CAPMATINIBE MONOIDRATADO,ANTINEOPLASICO,NOVO
7045,Tace,DOCETAXEL,AGENTES ANTINEOPLÁSICOS,SIMILAR
7046,Tacfen,CITRATO DE TAMOXIFENO,ANTINEOPLASICO,GENÉRICO
7047,Tachosil,FIBRINOGÊNIO +  TROMBINA,FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA,BIOLÓGICO
7048,Tacrolil,TACROLIMO MONOIDRATADO,IMUNOMODULADOR,SIMILAR
7049,Tacrolimo,TACROLIMO,IMUNOSUPRESSOR,GENÉRICO
7050,Tacrolimo,TACROLIMO,IMUNOSUPRESSOR,GENÉRICO
7051,Tacrolimo,TACROLIMO,IMUNOSUPRESSOR,GENÉRICO
7052,Tacroz,TACROLIMO,IMUNOMODULADOR,SIMILAR
7053,Tada,TADALAFILA,VASODILATADORES,SIMILAR
7054,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7055,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7056,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7057,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7058,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7059,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7060,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7061,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7062,Tadalafila,TADALAFILA,VASODILATADORES,GENÉRICO
7063,Tagdor,PREGABALINA,ANTICONVULSIVANTES,SIMILAR
7064,Takhzyro,LANADELUMABE,OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF,BIOLÓGICO
7065,Takil,TINIDAZOL +  TIOCONAZOL,PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS,SIMILAR
7066,Talco Alívio,CÂNFORA +  ENXOFRE +  MENTOL +  SALICILATO DE FENILA +  ÁCIDO BÓRICO +  ÓXIDO DE ZINCO,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,SIMILAR
7067,Talerc,CLORIDRATO DE EPINASTINA,ANTI-HISTAMINICOS SISTEMICOS,NOVO
7068,Taltz,IXEQUIZUMABE,IMUNOMODULADOR,BIOLÓGICO
7069,Tam,LEVETIRACETAM,ANTICONVULSIVANTES,SIMILAR
7070,Tamarine,CASSIA FISTULA L. +  SENNA ALEXANDRINA MILL.,LAXANTES,FITOTERÁPICO
7071,Tambella,DIENOGESTE +  VALERATO DE ESTRADIOL,ANTICONCEPCIONAIS,SIMILAR
7072,Tamiflu,FOSFATO DE OSELTAMIVIR,ANTIVIROTICOS,NOVO
7073,Tamiram,LEVOFLOXACINO HEMIIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
7074,Tamiram,LEVOFLOXACINO HEMIIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,NOVO
7075,Tamsulon,CLORIDRATO DE TANSULOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SIMILAR
7076,Tanaceto Ec,TANACETUM PARTHENIUM (L.) SCH.BIP.,ANALGESICOS CONTRA ENXAQUECA,FITOTERÁPICO
7077,Tanakan,GINKGO BILOBA L.,ANTIAGREGANTE PLAQUETARIO + FITOTERAPICO SIMPLES + VASODILATADORES CEREBRAIS,FITOTERÁPICO
7078,Tandene,CAFEÍNA +  CARISOPRODOL +  DICLOFENACO DE SÓDIO +  PARACETAMOL,RELAXANTES MUSCULARES,SIMILAR
7079,Tanderalgin,CAFEÍNA +  CARISOPRODOL +  DICLOFENACO DE SÓDIO +  PARACETAMOL,RELAXANTES MUSCULARES,
7080,Tandriflan,CAFEÍNA +  CARISOPRODOL +  DICLOFENACO SÓDICO +  PARACETAMOL,ANTINFLAMATORIOS E ANTIREUMATIOS-ASSOCS  MEDICAMENTOSAS,SIMILAR
7081,Tandrilax,CAFEÍNA ANIDRA +  CARISOPRODOL +  DICLOFENACO SÓDICO +  PARACETAMOL,ANTINFLAMATORIOS,NOVO
7082,Tanisea,NITAZOXANIDA,ANTIPARASITARIOS,SIMILAR
7083,Tantin,ETINILESTRADIOL +  GESTODENO,ANTICONCEPCIONAIS,SIMILAR
7084,Tapazol,TIAMAZOL,ANTITIREOIDEANOS,SIMILAR
7085,Tarceva,CLORIDRATO DE ERLOTINIBE,ANTINEOPLASICO,NOVO
7086,Tarfic,TACROLIMO +  TACROLIMO MONOIDRATADO,IMUNOSUPRESSOR,SIMILAR
7087,Tarflex,COALTAR,OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS,NOVO
7088,Targifor,ASPARTATO DE ARGININA,NEUROTONICO,ESPECÍFICO
7089,Targifor C,ASPARTATO DE ARGININA +  ÁCIDO ASCÓRBICO,NEUROTONICO,ESPECÍFICO
7090,Targocid,TEICOPLANINA,ANTIBIOTICOS SISTEMICOS SIMPLES,NOVO
7091,Targus,FLURBIPROFENO,ANTINFLAMATORIOS ANTIREUMATICOS,NOVO
7092,Tartarato De Brimonidina,TARTARATO DE BRIMONIDINA,ANTIGLAUCOMATOSOS,GENÉRICO
7093,Tartarato De Brimonidina,TARTARATO DE BRIMONIDINA,ANTIGLAUCOMATOSOS,GENÉRICO
7094,Tartarato De Brimonidina,TARTARATO DE BRIMONIDINA,ANTIGLAUCOMATOSOS,GENÉRICO
7095,Tartarato De Metoprolol,TARTARATO DE METOPROLOL,BETABLOQUEADORES SIMPLES,GENÉRICO
7096,Tartarato De Metoprolol,TARTARATO DE METOPROLOL,BETABLOQUEADORES SIMPLES,GENÉRICO
7097,Tartarato De Metoprolol,TARTARATO DE METOPROLOL,BETABLOQUEADORES SIMPLES,GENÉRICO
7098,Tarvexol,PACLITAXEL,ANTINEOPLASICO,SIMILAR
7099,Tasigna,NILOTINIBE,ANTINEOPLASICO,NOVO
7100,Tassiflam,DICLOFENACO POTÁSSICO,ANTINFLAMATORIOS,SIMILAR
7101,Tasulil,CLORIDRATO DE TANSULOSINA,OUTROS PRODUTOS COM ACAO NO TRATO URINARIO,SIMILAR
7102,Tat,ORLISTATE,ORLISTATE,SIMILAR
7103,Tavaflox,LEVOFLOXACINO HEMI-HIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,GENÉRICO
7104,Tavagran,LEVOFLOXACINO HEMI-HIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
7105,Tavok,LEVOFLOXACINO HEMIIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
7106,Tavok,LEVOFLOXACINO HEMIIDRATADO,ANTIBIOTICOS SISTEMICOS SIMPLES,SIMILAR
7107,Taxilan,PACLITAXEL,ANTINEOPLASICO,SIMILAR
7108,Taxofen,CITRATO DE TAMOXIFENO,ANTINEOPLASICO,SIMILAR
7109,Taxol,PACLITAXEL,ANTINEOPLASICO,NOVO
7110,Taxotere,DOCETAXEL,ANTINEOPLASICO,NOVO
7111,Tazocin,PIPERACILINA SÓDICA +  TAZOBACTAM SÓDICO,PENICILINAS PENICILINASE-RESISTENTES,NOVO
7112,Tazomaz,PIPERACILINA SÓDICA +  TAZOBACTAM SÓDICO,PENICILINAS PENICILINASE-RESISTENTES,SIMILAR
7113,Tazpen,PIPERACILINA SÓDICA +  TAZOBACTAM SÓDICO,ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS,SIMILAR
7114,Tebonin,GINKGO BILOBA L.,VASODILATADORES,FITOTERÁPICO
7115,Tecfidera,FUMARATO DE DIMETILA,OUTROS PRODUTOS COM ACAO IMUNOPROTETORA,NOVO
7116,Tecnomet,METOTREXATO,ANTIMETABOLICOS ANTAGONISTAS DO ACIDO FOLICO,SIMILAR
7117,Tecnotecan,CLORIDRATO DE IRINOTECANA,ANTINEOPLASICO,SIMILAR
7118,Tecpar Trastuzumabe,TRASTUZUMABE,ANTINEOPLASICO,BIOLÓGICO
7119,Tecplas,PROTEÍNAS PLASMÁTICAS HUMANAS,SANGUE TOTAL OU PLASMA,BIOLÓGICO
7120,Tecta,PANTOPRAZOL MAGNÉSICO DI-HIDRATADO,ANTIACIDOS E ANTIULCEROSOS SIMPLES,NOVO
7121,Tedeaga,CLORIDRATO DE METILFENIDATO,PSICOANALÉPTICOS,SIMILAR
7122,Tefin,CLORIDRATO DE BUTENAFINA,ANTIMICOTICOS PARA USO TOPICO,NOVO
7123,Teflan,TENOXICAM,ANTINFLAMATORIOS,SIMILAR
7124,Teflut,FLUTAMIDA,ANTINEOPLASICO,SIMILAR
